iter	Passed	Remaining
722	9220	3532
723	9236	3521
724	9254	3510
725	9269	3498
726	9284	3486
727	9297	3473
728	9311	3461
729	9326	3449
730	9340	3437
731	9355	3425
732	9369	3412
733	9384	3400
734	9397	3388
735	9412	3376
736	9425	3363
737	9438	3350
738	9451	3338
739	9467	3326
740	9481	3313
741	9496	3302
742	9510	3289
743	9524	3277
744	9538	3264
745	9551	3252
746	9570	3241
747	9587	3230
748	9605	3219
749	9624	3208
750	9637	3195
751	9651	3183
752	9665	3170
753	9679	3158
754	9694	3145
755	9710	3134
756	9722	3121
757	9736	3108
758	9751	3096
759	9765	3083
760	9778	3070
761	9792	3058
762	9805	3045
763	9821	3033
764	9836	3021
765	9849	3008
766	9860	2995
767	9872	2982
768	9883	2968
769	9893	2955
770	9904	2941
771	9916	2928
772	9929	2915
773	9941	2902
774	9955	2890
775	9967	2877
776	9983	2865
777	9999	2853
778	10012	2840
779	10027	2828
780	10047	2817
781	10063	2805
782	10078	2793
783	10091	2780
784	10106	2768
785	10124	2756
786	10143	2745
787	10160	2733
788	10177	2721
789	10208	2713
790	10222	2701
791	10238	2688
792	10253	2676
793	10269	2664
794	10282	2651
795	10294	2638
796	10306	2625
797	10316	2611
798	10328	2598
799	10339	2584
800	10349	2571
801	10360	2557
802	10371	2544
803	10383	2531
804	10395	2518
805	10405	2504
806	10415	2490
807	10427	2477
808	10439	2464
809	10450	2451
810	10463	2438
811	10477	2425
812	10492	2413
813	10504	2400
814	10517	2387
815	10531	2374
816	10547	2362
817	10561	2349
818	10576	2337
819	10587	2324
820	10601	2311
821	10613	2298
822	10627	2285
823	10640	2272
824	10652	2259
825	10665	2246
826	10676	2233
827	10687	2220
828	10699	2206
829	10709	2193
830	10720	2180
831	10731	2166
832	10742	2153
833	10752	2140
834	10762	2126
835	10772	2113
836	10782	2099
837	10791	2086
838	10802	2073
839	10814	2059
840	10825	2046
841	10837	2033
842	10849	2020
843	10863	2007
844	10875	1994
845	10888	1982
846	10901	1969
847	10914	1956
848	10926	1943
849	10939	1930
850	10955	1918
851	10973	1906
852	10989	1893
853	11006	1881
854	11024	1869
855	11039	1857
856	11055	1844
857	11072	1832
858	11089	1820
859	11104	1807
860	11120	1795
861	11135	1782
862	11148	1769
863	11163	1757
864	11176	1744
865	11189	1731
866	11202	1718
867	11213	1705
868	11227	1692
869	11242	1679
870	11253	1666
871	11265	1653
872	11278	1640
873	11290	1627
874	11302	1614
875	11315	1601
876	11326	1588
877	11337	1575
878	11347	1562
879	11358	1548
880	11368	1535
881	11379	1522
882	11389	1509
883	11399	1495
884	11414	1483
885	11429	1470
886	11446	1458
887	11456	1444
888	11468	1431
889	11479	1418
890	11494	1406
891	11503	1392
892	11515	1379
893	11527	1366
894	11539	1353
895	11551	1340
896	11563	1327
897	11574	1314
898	11584	1301
899	11595	1288
900	11607	1275
901	11617	1262
902	11626	1248
903	11635	1235
904	11644	1222
905	11656	1209
906	11667	1196
907	11681	1183
908	11692	1170
909	11705	1157
910	11718	1144
911	11732	1132
912	11744	1119
913	11774	1107
914	11790	1095
915	11807	1082
916	11822	1070
917	11835	1057
918	11847	1044
919	11858	1031
920	11873	1018
921	11887	1005
922	11904	993
923	11915	980
924	11930	967
925	11946	954
926	11958	941
927	11970	928
928	11984	915
929	11998	903
930	12011	890
931	12022	877
932	12033	864
933	12044	851
934	12054	838
935	12065	824
936	12076	811
937	12085	798
938	12095	785
939	12104	772
940	12115	759
941	12126	746
942	12135	733
943	12145	720
944	12154	707
945	12164	694
946	12175	681
947	12185	668
948	12196	655
949	12208	642
950	12219	629
951	12235	616
952	12250	604
953	12265	591
954	12277	578
955	12291	565
956	12307	553
957	12321	540
958	12335	527
959	12348	514
960	12359	501
961	12374	488
962	12388	475
963	12401	463
964	12416	450
965	12431	437
966	12446	424
967	12458	411
968	12471	398
969	12482	386
970	12495	373
971	12507	360
972	12517	347
973	12528	334
974	12540	321
975	12551	308
976	12563	295
977	12577	282
978	12591	270
979	12610	257
980	12626	244
981	12643	231
982	12660	218
983	12676	206
984	12691	193
985	12707	180
986	12724	167
987	12738	154
988	12752	141
989	12764	128
990	12775	116
991	12787	103
992	12799	90
993	12810	77
994	12823	64
995	12834	51
996	12846	38
997	12856	25
998	12869	12
999	12881	0
